# number of photons to be run per band/weight
# (Kato et al., optimized tables, solar)
# THIS IS JUST A DUMMY TO GET MYSTIC RUNNING; 
27 1 1 1 1 0.00666666666666666667
27 1 1 1 2 0.00666666666666666667
27 1 1 1 3 0.00666666666666666667
27 1 1 1 4 0.00666666666666666667
27 1 1 1 5 0.00666666666666666667
27 1 1 1 6 0.00666666666666666667
28 1 1 1 1 0.00666666666666666667
28 1 1 1 2 0.00666666666666666667
28 1 1 1 3 0.00666666666666666667
28 1 1 1 4 0.00666666666666666667
28 1 1 1 5 0.00666666666666666667
28 1 1 1 6 0.00666666666666666667
28 1 1 1 7 0.00666666666666666667
29 1 1 1 1 0.00666666666666666667
29 1 1 1 2 0.00666666666666666667
29 1 1 1 3 0.00666666666666666667
29 1 1 1 4 0.00666666666666666667
29 1 1 1 5 0.00666666666666666667
29 1 1 1 6 0.00666666666666666667
29 1 1 1 7 0.00666666666666666667
29 1 1 1 8 0.00666666666666666667
29 1 1 1 9 0.00666666666666666667
30 1 1 1 1 0.00666666666666666667
30 1 1 1 2 0.00666666666666666667
30 1 1 1 3 0.00666666666666666667
30 1 1 1 4 0.00666666666666666667
30 1 1 1 5 0.00666666666666666667
30 1 1 1 6 0.00666666666666666667
30 1 1 1 7 0.00666666666666666667
31 1 1 1 1 0.00666666666666666667
31 1 1 1 2 0.00666666666666666667
31 1 1 1 3 0.00666666666666666667
31 1 1 1 4 0.00666666666666666667
31 1 1 1 5 0.00666666666666666667
31 1 1 1 6 0.00666666666666666667
31 1 1 1 7 0.00666666666666666667
32 1 1 1 1 0.00666666666666666667
32 1 1 1 2 0.00666666666666666667
32 1 1 1 3 0.00666666666666666667
32 1 1 1 4 0.00666666666666666667
32 1 1 1 5 0.00666666666666666667
32 1 1 1 6 0.00666666666666666667
32 1 1 1 7 0.00666666666666666667
32 1 1 1 8 0.00666666666666666667
32 1 1 1 9 0.00666666666666666667
32 1 1 1 10 0.00666666666666666667
32 1 1 1 11 0.00666666666666666667
32 1 1 1 12 0.00666666666666666667
32 1 1 1 13 0.00666666666666666667
32 1 1 1 14 0.00666666666666666667
32 1 1 1 15 0.00666666666666666667
